#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
116,Afghanistan,"186,697",0,"7,752",0,"167,173",0,"11,772","1,124","4,581",190,"1,034,649","25,385","40,757,536",Asia,218,"5,258",39,0,0,289
0,Africa,"12,541,354",0,"256,985",0,"11,714,024",0,"570,345",972,0,0,0,0,0,Africa,0,0,0,0,0,0
102,Albania,"315,337",0,"3,554",0,"301,444",0,"10,339",0,"109,826","1,238","1,869,495","651,110","2,871,244",Europe,9,808,2,0,0,"3,601"
104,Algeria,"267,902",0,"6,877",0,"179,788",0,"81,237",6,"5,888",151,"230,861","5,074","45,503,155",Africa,170,"6,617",197,0,0,"1,785"
151,Andorra,"45,793",0,154,0,"45,401",0,238,14,"590,702","1,987","249,838","3,222,760","77,523",Europe,2,503,0,0,0,"3,070"
128,Angola,"102,301",0,"1,912",0,"97,149",0,"3,240",0,"2,923",55,"1,499,795","42,852","34,999,407",Africa,342,"18,305",23,0,0,93
215,Anguilla,"3,620",0,10,0,"3,595",0,15,4,"236,880",654,"51,382","3,362,256","15,282",North America,4,"1,528",0,0,0,982
199,Antigua and Barbuda,"8,773",0,144,0,"8,597",0,32,1,"88,064","1,445","18,901","189,729","99,621",North America,11,692,5,0,0,321
15,Argentina,"9,560,307",0,"129,369",0,"9,313,797","+5,665","117,141",456,"207,558","2,809","35,716,069","775,408","46,061,000",South America,5,356,1,0,0,"2,543"
94,Armenia,"426,799",0,"8,635",0,"412,661",0,"5,503",0,"143,472","2,903","3,109,931","1,045,427","2,974,795",Asia,7,345,1,0,0,"1,850"
155,Aruba,"42,217",0,226,0,"41,663",0,328,2,"391,943","2,098","177,885","1,651,487","107,712",North America,3,477,1,0,0,"3,045"
0,Asia,"172,267,740","+394,050","1,450,162",+320,"163,037,383","+245,157","7,780,195","12,856",0,0,0,0,0,Asia,0,0,0,0,0,0
14,Australia,"9,586,984","+32,580","12,201",+82,"9,224,255",0,"350,528",155,"367,076",467,"76,745,533","2,938,509","26,117,164",Australia/Oceania,3,"2,141",0,"1,247",3,"13,421"
25,Austria,"4,770,516",0,"19,165",0,"4,661,070",0,"90,281",83,"523,450","2,103","193,765,737","21,261,170","9,113,597",Europe,2,476,0,0,0,"9,906"
